"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
2,30.83,0,2,1,13,8,1.25,2,2,1,1,1,202,0,"+"
1,58.67,4.46,2,1,11,4,3.04,2,2,6,6,1,43,560,"+"
1,24.5,0.5,2,1,11,4,1.5,2,1,0,0,1,280,824,"+"
2,27.83,1.54,2,1,13,8,3.75,2,2,5,5,1,100,3,"+"
2,20.17,5.625,2,1,13,8,1.71,2,1,0,0,3,120,0,"+"
2,32.08,4,2,1,10,8,2.5,2,1,0,0,1,360,0,"+"
2,33.17,1.04,2,1,12,4,6.5,2,1,0,0,1,164,31285,"+"
1,22.92,11.585,2,1,3,8,0.04,2,1,0,0,1,80,1349,"+"
2,54.42,0.5,3,3,9,4,3.96,2,1,0,0,1,180,314,"+"
2,42.5,4.915,3,3,13,8,3.165,2,1,0,0,1,52,1442,"+"
2,22.08,0.83,2,1,2,4,2.165,1,1,0,0,1,128,0,"+"
2,29.92,1.835,2,1,2,4,4.335,2,1,0,0,1,260,200,"+"
1,38.25,6,2,1,9,8,1,2,1,0,0,1,0,0,"+"
2,48.08,6.04,2,1,9,8,0.04,1,1,0,0,1,0,2690,"+"
1,45.83,10.5,2,1,11,8,5,2,2,7,7,1,0,0,"+"
2,36.67,4.415,3,3,9,8,0.25,2,2,10,10,1,320,0,"+"
2,28.25,0.875,2,1,10,8,0.96,2,2,3,3,1,396,0,"+"
1,23.25,5.875,2,1,11,8,3.17,2,2,10,10,1,120,245,"+"
2,21.83,0.25,2,1,4,4,0.665,2,1,0,0,1,0,0,"+"
1,19.17,8.585,2,1,3,4,0.75,2,2,7,7,1,96,0,"+"
2,25,11.25,2,1,2,8,2.5,2,2,17,17,1,200,1208,"+"
2,23.25,1,2,1,2,8,0.835,2,1,0,0,3,300,0,"+"
1,47.75,8,2,1,2,8,7.875,2,2,6,6,1,0,1260,"+"
1,27.42,14.5,2,1,14,4,3.085,2,2,1,1,1,120,11,"+"
1,41.17,6.5,2,1,11,8,0.5,2,2,3,3,1,145,0,"+"
1,15.83,0.585,2,1,2,4,1.5,2,2,2,2,1,100,0,"+"
1,47,13,2,1,7,1,5.165,2,2,9,9,1,0,0,"+"
2,56.58,18.5,2,1,4,1,15,2,2,17,17,1,0,0,"+"
2,57.42,8.5,2,1,5,4,7,2,2,3,3,1,0,0,"+"
2,42.08,1.04,2,1,13,8,5,2,2,6,6,1,500,10000,"+"
2,29.25,14.79,2,1,1,8,5.04,2,2,5,5,1,168,0,"+"
2,42,9.79,2,1,14,4,7.96,2,2,8,8,1,0,0,"+"
2,49.5,7.585,2,1,7,1,7.585,2,2,15,15,1,0,5000,"+"
1,36.75,5.125,2,1,5,8,5,2,1,0,0,1,0,4000,"+"
1,22.58,10.75,2,1,11,8,0.415,2,2,5,5,1,0,560,"+"
2,27.83,1.5,2,1,13,8,2,2,2,11,11,1,434,35,"+"
2,27.25,1.585,2,1,3,4,1.835,2,2,12,12,1,583,713,"+"
1,23,11.75,2,1,14,4,0.5,2,2,2,2,1,300,551,"+"
2,27.75,0.585,3,3,3,8,0.25,2,2,2,2,1,260,500,"+"
2,54.58,9.415,2,1,6,3,14.415,2,2,11,11,1,30,300,"+"
2,34.17,9.17,2,1,2,8,4.5,2,2,12,12,1,0,221,"+"
2,28.92,15,2,1,2,4,5.335,2,2,11,11,1,0,2283,"+"
2,29.67,1.415,2,1,13,4,0.75,2,2,1,1,1,240,100,"+"
2,39.58,13.915,2,1,13,8,8.625,2,2,6,6,1,70,0,"+"
2,56.42,28,3,3,2,8,28.5,2,2,40,40,1,0,15,"+"
2,54.33,6.75,2,1,2,4,2.625,2,2,11,11,1,0,284,"+"
1,41,2.04,3,3,11,4,0.125,2,2,23,23,1,455,1236,"+"
