도로등급, 도로명, 지점ID, 년도, 월, 일, 요일, 방향, 1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종, 합계  
일반국도,국도 48호선,4803-002,2012,01,01,일,상행,30053,172,4595,2934,14,809,2,0,1,48,0,37,38665
일반국도,국도 48호선,4803-002,2012,01,01,일,하행,29196,70,2510,1804,3,439,1,0,1,256,0,90,34370
일반국도,국도 48호선,4803-002,2012,01,02,월,상행,35344,300,5365,3424,103,1183,14,2,0,52,1,28,45816
일반국도,국도 48호선,4803-002,2012,01,02,월,하행,33324,155,3762,2928,229,1794,108,0,0,68,0,0,42368
일반국도,국도 48호선,4803-002,2012,01,03,화,상행,35938,290,5492,3505,110,1451,18,5,3,53,0,29,46894
일반국도,국도 48호선,4803-002,2012,01,03,화,하행,33528,117,3776,2940,199,1849,36,2,0,68,0,18,42533
일반국도,국도 48호선,4803-002,2012,01,04,수,상행,35137,539,5418,3457,101,1504,18,4,1,53,0,29,46261
일반국도,국도 48호선,4803-002,2012,01,04,수,하행,32217,231,3677,2862,138,2016,36,1,1,67,0,168,41414
일반국도,국도 48호선,4803-002,2012,01,05,목,상행,36424,682,5606,3578,120,1353,19,4,2,54,0,30,47872
일반국도,국도 48호선,4803-002,2012,01,05,목,하행,33568,332,3735,2908,102,1249,77,9,0,68,0,18,42066
일반국도,국도 48호선,4803-002,2012,01,06,금,상행,37853,492,5814,3710,152,1514,15,6,0,56,1,31,49644
일반국도,국도 48호선,4803-002,2012,01,06,금,하행,35442,212,3996,3110,210,1763,23,2,0,72,0,171,45001
일반국도,국도 48호선,4803-002,2012,01,07,토,상행,36472,659,5709,3646,98,1320,22,2,3,60,0,46,48037
일반국도,국도 48호선,4803-002,2012,01,07,토,하행,36328,267,3103,283,172,1821,58,2,2,41,0,409,42486
일반국도,국도 48호선,4803-002,2012,01,08,일,상행,28331,489,4435,2832,24,1120,4,0,2,46,0,36,37319
일반국도,국도 48호선,4803-002,2012,01,08,일,하행,25881,179,2295,1649,4,1272,2,0,1,103,0,36,31422
일반국도,국도 48호선,4803-002,2012,01,09,월,상행,36827,406,5649,3605,147,1501,14,3,3,55,0,30,48240
일반국도,국도 48호선,4803-002,2012,01,09,월,하행,34661,195,3930,3059,233,2035,51,4,2,71,0,19,44260
일반국도,국도 48호선,4803-002,2012,01,10,화,상행,37713,795,5822,3715,132,1426,16,4,1,57,0,31,49712
일반국도,국도 48호선,4803-002,2012,01,10,화,하행,34425,382,3953,3077,211,2276,99,9,0,72,0,19,44523
일반국도,국도 48호선,4803-002,2012,01,11,수,상행,37302,1962,5687,1937,131,1428,17,4,11,55,2,30,48566
일반국도,국도 48호선,4803-002,2012,01,11,수,하행,35229,879,3905,1225,242,2127,51,1,11,71,1,242,43984
일반국도,국도 48호선,4803-002,2012,01,12,목,상행,37020,539,5653,3608,109,1236,22,1,0,55,0,30,48273
일반국도,국도 48호선,4803-002,2012,01,12,목,하행,33763,251,3883,3023,174,2388,160,0,0,70,0,19,43731
일반국도,국도 48호선,4803-002,2012,01,13,금,상행,38959,512,5936,3788,145,1243,11,4,0,58,2,31,50689
일반국도,국도 48호선,4803-002,2012,01,13,금,하행,36439,216,4155,3235,206,1983,17,2,0,75,1,473,46802
일반국도,국도 48호선,4803-002,2012,01,14,토,상행,36907,344,5705,3643,65,1216,9,3,5,60,0,46,48003
일반국도,국도 48호선,4803-002,2012,01,14,토,하행,38821,144,3214,250,96,1376,45,5,0,43,0,16,44010
일반국도,국도 48호선,4803-002,2012,01,15,일,상행,28984,596,4518,2886,11,938,1,2,3,47,0,36,38022
일반국도,국도 48호선,4803-002,2012,01,15,일,하행,28054,238,2440,1753,3,663,1,1,0,224,0,28,33405
일반국도,국도 48호선,4803-002,2012,01,16,월,상행,37512,367,5687,3629,116,1149,10,5,0,55,0,30,48560
일반국도,국도 48호선,4803-002,2012,01,16,월,하행,34138,159,3805,2962,126,1563,11,3,0,69,0,18,42854
일반국도,국도 48호선,4803-002,2012,01,17,화,상행,38361,508,5935,3787,143,1818,24,3,10,58,0,31,50678
일반국도,국도 48호선,4803-002,2012,01,17,화,하행,38084,243,4120,3207,252,349,38,1,9,75,0,20,46398
일반국도,국도 48호선,4803-002,2012,01,18,수,상행,38643,494,5896,3763,122,1309,25,5,2,57,0,31,50347
일반국도,국도 48호선,4803-002,2012,01,18,수,하행,35333,264,4062,3162,229,2382,205,17,0,74,0,20,45748
일반국도,국도 48호선,4803-002,2012,01,19,목,상행,38846,544,5996,3827,199,1671,19,8,2,58,1,32,51203
일반국도,국도 48호선,4803-002,2012,01,19,목,하행,36038,264,4124,3210,358,2289,63,3,2,75,1,20,46447
일반국도,국도 48호선,4803-002,2012,01,20,금,상행,37888,1697,6155,3997,176,2459,24,9,58,60,6,33,52562
일반국도,국도 48호선,4803-002,2012,01,20,금,하행,38309,1470,1903,2642,145,1627,30,5,0,74,1,20,46226
