연번,소재지,지목,면적(㎡),공시가격(원/㎡),조정가격(원/㎡),,
1,제주특별자치도 서귀포시 서귀동 84-7,대,158 ,537000 ,520800 ,,
2,제주특별자치도 서귀포시 서귀동 204-7,대,446 ,2841000 ,2700000 ,,
3,제주특별자치도 서귀포시 서귀동 276-6,대,788 ,1403000 ,1211000 ,,
4,제주특별자치도 서귀포시 서귀동 296-2,대,1090 ,2522000 ,1700000 ,,
5,제주특별자치도 서귀포시 서귀동 478-5,대,446 ,981700 ,926300 ,,
6,제주특별자치도 서귀포시 서귀동 478-6,대,9 ,1043000 ,926300 ,,
7,제주특별자치도 서귀포시 서귀동 645-1,대,512 ,526000 ,499300 ,,
8,제주특별자치도 서귀포시 법환동 448,대,364 ,328300 ,281900 ,,
9,제주특별자치도 서귀포시 법환동 458-1,대,199 ,224500 ,190800 ,,
10,제주특별자치도 서귀포시 법환동 521-1,대,919 ,243200 ,236800 ,,
11,제주특별자치도 서귀포시 법환동 1593-4,전,34 ,293500 ,250000 ,,
12,제주특별자치도 서귀포시 법환동 1639-7,전,53 ,293500 ,250000 ,,
13,제주특별자치도 서귀포시 법환동 1640,묘,132 ,293500 ,250000 ,,
14,제주특별자치도 서귀포시 법환동 1641-7,과,78 ,293500 ,250000 ,,
15,제주특별자치도 서귀포시 법환동 1641-8,과,230 ,293500 ,250000 ,,
16,제주특별자치도 서귀포시 서호동 34,전,3787 ,170700 ,161400 ,,
17,제주특별자치도 서귀포시 서호동 649-2,대,1200 ,167600 ,148200 ,,
18,제주특별자치도 서귀포시 서호동 1257-2,임,182 ,57000 ,23300 ,,
19,제주특별자치도 서귀포시 서호동 1258-2,전,1094 ,56500 ,25300 ,,
20,제주특별자치도 서귀포시 서호동 1259-2,임,142 ,51900 ,23300 ,,
21,제주특별자치도 서귀포시 호근동 2,답,1587 ,26500 ,32000 ,,
22,제주특별자치도 서귀포시 호근동 41,답,1359 ,26500 ,32000 ,,
23,제주특별자치도 서귀포시 호근동 57,답,1124 ,26500 ,32000 ,,
24,제주특별자치도 서귀포시 호근동 60,답,942 ,26500 ,32000 ,,
25,제주특별자치도 서귀포시 호근동 67,답,460 ,26500 ,32000 ,,
26,제주특별자치도 서귀포시 호근동 84,답,430 ,26500 ,32000 ,,
27,제주특별자치도 서귀포시 호근동 85,답,337 ,26500 ,32000 ,,
28,제주특별자치도 서귀포시 호근동 86,답,542 ,26500 ,32000 ,,
29,제주특별자치도 서귀포시 호근동 96,과,2182 ,27800 ,41000 ,,
30,제주특별자치도 서귀포시 호근동 97,답,628 ,18300 ,41000 ,,
31,제주특별자치도 서귀포시 호근동 100,답,456 ,26500 ,41000 ,,
32,제주특별자치도 서귀포시 호근동 108,과,1346 ,27800 ,44000 ,,
33,제주특별자치도 서귀포시 호근동 111,과,1742 ,18300 ,46000 ,,
34,제주특별자치도 서귀포시 호근동 113,과,460 ,27800 ,41000 ,,
35,제주특별자치도 서귀포시 호근동 124,답,869 ,27800 ,46000 ,,
36,제주특별자치도 서귀포시 호근동 124-2,답,60 ,26500 ,46000 ,,
37,제주특별자치도 서귀포시 호근동 125,과,661 ,27800 ,46000 ,,
38,제주특별자치도 서귀포시 호근동 125-2,답,281 ,27800 ,46000 ,,
39,제주특별자치도 서귀포시 호근동 129,답,357 ,26500 ,32000 ,,
40,제주특별자치도 서귀포시 호근동 136-1,답,1788 ,27800 ,44000 ,,
41,제주특별자치도 서귀포시 호근동 136-2,전,185 ,27800 ,44000 ,,
42,제주특별자치도 서귀포시 호근동 136-4,답,116 ,27800 ,44000 ,,
43,제주특별자치도 서귀포시 호근동 136-5,답,36 ,27800 ,44000 ,,
44,제주특별자치도 서귀포시 호근동 137,전,1623 ,27800 ,44000 ,,
45,제주특별자치도 서귀포시 호근동 138,전,2198 ,27800 ,44000 ,,
46,제주특별자치도 서귀포시 호근동 139,과,5643 ,27800 ,44000 ,,
47,제주특별자치도 서귀포시 호근동 155,과,1792 ,22500 ,28000 ,,
48,제주특별자치도 서귀포시 호근동 156,과,893 ,22500 ,28000 ,,
49,제주특별자치도 서귀포시 호근동 157,과,1326 ,22500 ,28000 ,,
50,제주특별자치도 서귀포시 호근동 158-1,전,1074 ,22500 ,28000 ,,
51,제주특별자치도 서귀포시 호근동 160,답,893 ,22500 ,28000 ,,
52,제주특별자치도 서귀포시 호근동 161,답,489 ,22500 ,28000 ,,
53,제주특별자치도 서귀포시 호근동 165,과,1517 ,22600 ,28000 ,,
54,제주특별자치도 서귀포시 호근동 166,과,2807 ,22500 ,28000 ,,
55,제주특별자치도 서귀포시 호근동 168-1,과,1326 ,22500 ,28000 ,,
56,제주특별자치도 서귀포시 호근동 168-2,과,3633 ,22500 ,28000 ,,
57,제주특별자치도 서귀포시 호근동 168-3,과,737 ,22500 ,28000 ,,
58,제주특별자치도 서귀포시 호근동 179,과,985 ,23200 ,32000 ,,
59,제주특별자치도 서귀포시 호근동 196,전,3104 ,34000 ,59300 ,,
60,제주특별자치도 서귀포시 호근동 201,전,1328 ,59300 ,75000 ,,
61,제주특별자치도 서귀포시 호근동 208,전,2127 ,61200 ,73000 ,,
62,제주특별자치도 서귀포시 호근동 208-3,전,416 ,62500 ,75000 ,,
63,제주특별자치도 서귀포시 호근동 209,전,1927 ,34000 ,55000 ,,
64,제주특별자치도 서귀포시 호근동 215,전,1569 ,48000 ,58000 ,,
65,제주특별자치도 서귀포시 호근동 215-1,전,1568 ,48000 ,58000 ,,
66,제주특별자치도 서귀포시 호근동 216-1,임,2272 ,44100 ,53000 ,,
67,제주특별자치도 서귀포시 호근동 216-4,임,253 ,28200 ,43000 ,,
68,제주특별자치도 서귀포시 호근동 217,임,4245 ,44100 ,53000 ,,
69,제주특별자치도 서귀포시 호근동 220-1,과,10896 ,21100 ,38000 ,,
70,제주특별자치도 서귀포시 호근동 226-1,전,3035 ,36300 ,44000 ,,
71,제주특별자치도 서귀포시 호근동 226-2,전,3491 ,36300 ,47000 ,,
72,제주특별자치도 서귀포시 호근동 227,대,281 ,41800 ,51000 ,,
73,제주특별자치도 서귀포시 호근동 234-2,전,2202 ,34000 ,44000 ,,
74,제주특별자치도 서귀포시 호근동 237,답,889 ,36300 ,44000 ,,
75,제주특별자치도 서귀포시 호근동 242,과,6251 ,21200 ,26000 ,,
76,제주특별자치도 서귀포시 호근동 243,전,2063 ,36300 ,44000 ,,
77,제주특별자치도 서귀포시 호근동 244-1,과,2651 ,36300 ,44000 ,,
78,제주특별자치도 서귀포시 호근동 247-1,전,2780 ,36300 ,49000 ,,
79,제주특별자치도 서귀포시 호근동 249-1,임,5921 ,31100 ,38000 ,,
80,제주특별자치도 서귀포시 호근동 664,과,3990 ,22600 ,28000 ,,
81,제주특별자치도 서귀포시 호근동 667-1,과,3924 ,26500 ,32000 ,,
82,제주특별자치도 서귀포시 호근동 668,과,301 ,22500 ,28000 ,,
83,제주특별자치도 서귀포시 호근동 669-1,대,215 ,31900 ,39000 ,,
84,제주특별자치도 서귀포시 호근동 669-2,대,909 ,31500 ,38000 ,,
85,제주특별자치도 서귀포시 호근동 670,과,2116 ,22500 ,28000 ,,
86,제주특별자치도 서귀포시 호근동 671,전,1729 ,22500 ,28000 ,,
87,제주특별자치도 서귀포시 호근동 675,전,2152 ,22500 ,28000 ,,
88,제주특별자치도 서귀포시 호근동 686,과,1822 ,24100 ,29000 ,,
89,제주특별자치도 서귀포시 호근동 686-1,과,1018 ,22500 ,28000 ,,
90,제주특별자치도 서귀포시 호근동 2059,과,5140 ,54100 ,43000 ,,
91,제주특별자치도 서귀포시 호근동 2090-2,임,5723 ,131400 ,24000 ,,
92,제주특별자치도 서귀포시 호근동 2091-4,임,8436 ,107600 ,24000 ,,
93,제주특별자치도 서귀포시 호근동 2092,임,1157 ,131400 ,43100 ,,
94,제주특별자치도 서귀포시 호근동 2092-2,임,1984 ,131400 ,43100 ,,
95,제주특별자치도 서귀포시 호근동 2092-3,임,826 ,131400 ,43100 ,,
96,제주특별자치도 서귀포시 호근동 2092-4,임,1190 ,131400 ,43100 ,,
97,제주특별자치도 서귀포시 호근동 2092-5,도,1190 ,155800 ,50800 ,,
98,제주특별자치도 서귀포시 호근동 2092-6,임,662 ,131400 ,43100 ,,
99,제주특별자치도 서귀포시 호근동 2092-7,임,1200 ,131400 ,43100 ,,
100,제주특별자치도 서귀포시 호근동 2092-8,임,827 ,131400 ,43100 ,,
101,제주특별자치도 서귀포시 호근동 2092-9,임,528 ,131400 ,43100 ,,
102,제주특별자치도 서귀포시 호근동 2094-3,임,76 ,65700 ,19800 ,,
103,제주특별자치도 서귀포시 호근동 2094-4,임,377 ,131400 ,43100 ,,
104,제주특별자치도 서귀포시 동홍동 396-1,전,2537 ,176600 ,185400 ,,
105,제주특별자치도 서귀포시 동홍동 396-8,전,256 ,194800 ,204600 ,,
106,제주특별자치도 서귀포시 동홍동 507-4,대,223 ,448600 ,427500 ,,
107,제주특별자치도 서귀포시 동홍동 541-1,전,1476 ,160000 ,156500 ,,
108,제주특별자치도 서귀포시 동홍동 717,과,9825 ,48600 ,93000 ,,
109,제주특별자치도 서귀포시 서홍동 119,대,1749 ,165700 ,162400 ,,
110,제주특별자치도 서귀포시 서홍동 252-4,대,182 ,570800 ,410000 ,,
111,제주특별자치도 서귀포시 서홍동 340-5,대,759 ,380300 ,356300 ,,
112,제주특별자치도 서귀포시 서홍동 357-31,대,141 ,533600 ,460500 ,,
113,제주특별자치도 서귀포시 서홍동 504-4,과,2919 ,93700 ,95700 ,,
114,제주특별자치도 서귀포시 서홍동 504-7,과,93 ,50800 ,53800 ,,
115,제주특별자치도 서귀포시 서홍동 743-3,과,582 ,149400 ,148000 ,,
116,제주특별자치도 서귀포시 서홍동 743-10,전,1850 ,166000 ,156000 ,,
117,제주특별자치도 서귀포시 서홍동 744-63,과,200 ,243500 ,84000 ,,
118,제주특별자치도 서귀포시 서홍동 800-6,과,321 ,29200 ,15800 ,,
119,제주특별자치도 서귀포시 서홍동 802-1,전,2853 ,32300 ,39000 ,,
120,제주특별자치도 서귀포시 서홍동 802-3,대,198 ,42400 ,51000 ,,
121,제주특별자치도 서귀포시 서홍동 805-1,전,165 ,49700 ,60000 ,,
122,제주특별자치도 서귀포시 서홍동 807-3,과,340 ,34500 ,15800 ,,
123,제주특별자치도 서귀포시 서홍동 861-1,과,4195 ,39900 ,51000 ,,
124,제주특별자치도 서귀포시 서홍동 865-2,전,2886 ,34900 ,60000 ,,
125,제주특별자치도 서귀포시 서홍동 865-3,대,228 ,40100 ,64000 ,,
126,제주특별자치도 서귀포시 서홍동 866-7,과,1213 ,49700 ,60000 ,,
127,제주특별자치도 서귀포시 서홍동 869-1,과,3785 ,49700 ,600000 ,,
128,제주특별자치도 서귀포시 서홍동 869-5,과,1392 ,34900 ,55000 ,,
129,제주특별자치도 서귀포시 서홍동 869-6,과,598 ,49700 ,60000 ,,
130,제주특별자치도 서귀포시 서홍동 921,답,704 ,42800 ,55000 ,,
131,제주특별자치도 서귀포시 서홍동 921-2,답,704 ,42800 ,55000 ,,
132,제주특별자치도 서귀포시 서홍동 928,답,1971 ,46300 ,60000 ,,
133,제주특별자치도 서귀포시 서홍동 936,답,526 ,42800 ,55000 ,,
134,제주특별자치도 서귀포시 서홍동 966,임,2202 ,34600 ,42000 ,,
135,제주특별자치도 서귀포시 서홍동 968-2,과,5977 ,20900 ,34000 ,,
136,제주특별자치도 서귀포시 서홍동 993-1,답,850 ,26600 ,32000 ,,
137,제주특별자치도 서귀포시 서홍동 1000,답,466 ,26600 ,32000 ,,
138,제주특별자치도 서귀포시 서홍동 1010-2,답,2182 ,26600 ,32000 ,,
139,제주특별자치도 서귀포시 서홍동 1012,답,932 ,26600 ,32000 ,,
140,제주특별자치도 서귀포시 서홍동 1018,답,1101 ,26600 ,32000 ,,
141,제주특별자치도 서귀포시 서홍동 1048,답,1726 ,26600 ,32000 ,,
142,제주특별자치도 서귀포시 서홍동 1050,답,602 ,26600 ,32000 ,,
143,제주특별자치도 서귀포시 서홍동 1059,답,119 ,26600 ,32000 ,,
144,제주특별자치도 서귀포시 서홍동 1060,답,737 ,26600 ,32000 ,,
145,제주특별자치도 서귀포시 서홍동 1061,답,569 ,26600 ,32000 ,,
146,제주특별자치도 서귀포시 서홍동 1062,답,152 ,26600 ,32000 ,,
147,제주특별자치도 서귀포시 서홍동 1065,답,106 ,26600 ,32000 ,,
148,제주특별자치도 서귀포시 서홍동 1067,과,6995 ,72100 ,34300 ,,
149,제주특별자치도 서귀포시 서홍동 1073,답,790 ,26600 ,32000 ,,
150,제주특별자치도 서귀포시 서홍동 1080,전,5831 ,22400 ,27000 ,,
151,제주특별자치도 서귀포시 서홍동 1081,전,2271 ,33200 ,40000 ,,
152,제주특별자치도 서귀포시 서홍동 1114,과,3485 ,42300 ,53000 ,,
153,제주특별자치도 서귀포시 서홍동 1114-2,답,50 ,42300 ,53000 ,,
154,제주특별자치도 서귀포시 서홍동 1120-1,전,2258 ,20800 ,25000 ,,
155,제주특별자치도 서귀포시 서홍동 1214,전,1617 ,46900 ,49400 ,,
156,제주특별자치도 서귀포시 서홍동 1371,임,2063 ,22200 ,27000 ,,
157,제주특별자치도 서귀포시 상효동 산 121-1,임,12663 ,19700 ,14400 ,,
158,제주특별자치도 서귀포시 상효동 산 121-2,임,63 ,8360 ,6100 ,,
159,제주특별자치도 서귀포시 상효동 산 121-4,임,4804 ,10700 ,7860 ,,
160,제주특별자치도 서귀포시 하효동 3,대,419 ,171500 ,166200 ,,
161,제주특별자치도 서귀포시 하효동 339-3,대,469 ,180900 ,179300 ,,
162,제주특별자치도 서귀포시 하효동 539,전,2141 ,149200 ,141200 ,,
163,제주특별자치도 서귀포시 신효동 489,대,711 ,142400 ,117600 ,,
164,제주특별자치도 서귀포시 신효동 489-1,대,720 ,158700 ,105800 ,,
165,제주특별자치도 서귀포시 신효동 682-2,대,856 ,159100 ,147400 ,,
166,제주특별자치도 서귀포시 보목동 1231-6,전,1260 ,89000 ,86400 ,,
167,제주특별자치도 서귀포시 보목동 1289,과,2771 ,104000 ,100900 ,,
168,제주특별자치도 서귀포시 보목동 1289-5,과,660 ,107100 ,103900 ,,
169,제주특별자치도 서귀포시 보목동 1377,임,1137 ,55600 ,52800 ,,
170,제주특별자치도 서귀포시 보목동 1532-1,과,2688 ,54600 ,51800 ,,
171,제주특별자치도 서귀포시 보목동 1532-2,과,4734 ,54600 ,51800 ,,
172,제주특별자치도 서귀포시 토평동 935-2,대,121 ,159200 ,143500 ,,
173,제주특별자치도 서귀포시 토평동 1009,과,3098 ,48500 ,46000 ,,
174,제주특별자치도 서귀포시 토평동 1163,과,13639 ,98800 ,95000 ,,
175,제주특별자치도 서귀포시 토평동 1253,과,4527 ,102700 ,99600 ,,
176,제주특별자치도 서귀포시 토평동 1353-1,대,338 ,172200 ,140000 ,,
177,제주특별자치도 서귀포시 토평동 1356,과,1706 ,126500 ,112000 ,,
178,제주특별자치도 서귀포시 토평동 1563,과,4413 ,100800 ,93600 ,,
179,제주특별자치도 서귀포시 토평동 1995-1,과,5171 ,33100 ,31600 ,,
180,제주특별자치도 서귀포시 토평동 2002-1,임,998 ,30400 ,29000 ,,
181,제주특별자치도 서귀포시 토평동 2002-2,전,2241 ,33100 ,31600 ,,
182,제주특별자치도 서귀포시 토평동 2173,과,2304 ,75000 ,60000 ,,
183,제주특별자치도 서귀포시 토평동 2233-3,전,2603 ,298100 ,253800 ,,
184,제주특별자치도 서귀포시 중문동 2208-4,과,1418 ,97200 ,93200 ,,
185,제주특별자치도 서귀포시 대포동 213,과,1668 ,39500 ,38600 ,,
186,제주특별자치도 서귀포시 대포동 213-1,과,3792 ,39500 ,38600 ,,
187,제주특별자치도 서귀포시 대포동 213-2,과,3052 ,39500 ,38600 ,,
188,제주특별자치도 서귀포시 대포동 230,과,2678 ,39500 ,38600 ,,
189,제주특별자치도 서귀포시 대포동 1497-3,대,324 ,170900 ,157100 ,,
190,제주특별자치도 서귀포시 대포동 1898-2,대,336 ,151200 ,134000 ,,
191,제주특별자치도 서귀포시 월평동 568-3,전,2916 ,56400 ,47900 ,,
192,제주특별자치도 서귀포시 강정동 1261-1,잡,451 ,440800 ,404600 ,,
193,제주특별자치도 서귀포시 강정동 1261-4,대,717 ,440800 ,404600 ,,
194,제주특별자치도 서귀포시 강정동 1262-4,전,71 ,355200 ,294000 ,,
195,제주특별자치도 서귀포시 강정동 1263,묘,75 ,462800 ,360000 ,,
196,제주특별자치도 서귀포시 강정동 1264-1,대,1940 ,462800 ,424800 ,,
197,제주특별자치도 서귀포시 강정동 1836,전,3296 ,30000 ,29100 ,,
198,제주특별자치도 서귀포시 강정동 1837,전,1785 ,30000 ,29100 ,,
199,제주특별자치도 서귀포시 강정동 1843-1,임,364 ,36600 ,39200 ,,
200,제주특별자치도 서귀포시 강정동 1847,임,4222 ,23900 ,25900 ,,
201,제주특별자치도 서귀포시 강정동 1848,임,8539 ,49500 ,54300 ,,
202,제주특별자치도 서귀포시 강정동 1849,임,9372 ,48300 ,53600 ,,
203,제주특별자치도 서귀포시 강정동 1851,임,3580 ,48600 ,54000 ,,
204,제주특별자치도 서귀포시 강정동 3200-1,과,6488 ,75400 ,61000 ,,
205,제주특별자치도 서귀포시 강정동 3436,과,4140 ,117000 ,80000 ,,
206,제주특별자치도 서귀포시 강정동 3455-1,과,2132 ,50000 ,44400 ,,
207,제주특별자치도 서귀포시 강정동 4373-1,전,1094 ,178000 ,168500 ,,
208,제주특별자치도 서귀포시 강정동 5018,답,1578 ,150000 ,140000 ,,
209,제주특별자치도 서귀포시 강정동 5630-3,과,516 ,120900 ,41500 ,,
210,제주특별자치도 서귀포시 도순동 97,전,1627 ,33400 ,14300 ,,
211,제주특별자치도 서귀포시 도순동 1303,대,5924 ,85600 ,36000 ,,
212,제주특별자치도 서귀포시 하원동 8-2,목,1828 ,25700 ,25200 ,,
213,제주특별자치도 서귀포시 하원동 22,임,8429 ,24400 ,19700 ,,
214,제주특별자치도 서귀포시 하원동 56-1,임,14783 ,23900 ,11700 ,,
215,제주특별자치도 서귀포시 하원동 160,과,3698 ,64000 ,60800 ,,
216,제주특별자치도 서귀포시 하원동 341-2,전,40 ,41000 ,39900 ,,
217,제주특별자치도 서귀포시 하원동 520-1,대,959 ,114600 ,105700 ,,
218,제주특별자치도 서귀포시 하원동 520-2,대,701 ,122200 ,112800 ,,
220,제주특별자치도 서귀포시 하원동 953,임,2241 ,10600 ,7140 ,,
221,제주특별자치도 서귀포시 하원동 954,임,2162 ,10600 ,7140 ,,
222,제주특별자치도 서귀포시 하원동 산 93-3,임,24625 ,9010 ,5800 ,,
223,제주특별자치도 서귀포시 색달동 2211,전,322 ,155200 ,145600 ,,
224,제주특별자치도 서귀포시 상예동 602-1,전,1188 ,130100 ,89300 ,,
225,제주특별자치도 서귀포시 상예동 1601-1,과,3252 ,48000 ,39600 ,,
226,제주특별자치도 서귀포시 상예동 4627-1,과,3856 ,184900 ,154800 ,,
227,제주특별자치도 서귀포시 상예동 4744-9,전,965 ,102200 ,42900 ,,
228,제주특별자치도 서귀포시 대정읍 상모리 1906-1,전,2228 ,41000 ,29000 ,,
229,제주특별자치도 서귀포시 대정읍 상모리 3979-4,대,109 ,337000 ,334900 ,,
230,제주특별자치도 서귀포시 대정읍 하모리 824-3,대,455 ,350000 ,187200 ,,
231,제주특별자치도 서귀포시 대정읍 하모리 824-4,대,645 ,350000 ,187200 ,,
232,제주특별자치도 서귀포시 대정읍 하모리 824-15,대,127 ,350000 ,187200 ,,
233,제주특별자치도 서귀포시 대정읍 하모리 898-1,대,284 ,180000 ,162100 ,,
234,제주특별자치도 서귀포시 대정읍 하모리 1135-4,대,8 ,150000 ,153000 ,,
235,제주특별자치도 서귀포시 대정읍 하모리 1135-5,대,21 ,150000 ,153000 ,,
236,제주특별자치도 서귀포시 대정읍 하모리 1394-13,전,275 ,140000 ,46200 ,,
237,제주특별자치도 서귀포시 대정읍 안성리 628-2,임,102 ,32000 ,13700 ,,
238,제주특별자치도 서귀포시 대정읍 일과리 1657,대,912 ,68000 ,59400 ,,
239,제주특별자치도 서귀포시 대정읍 신평리 974-2,전,362 ,33500 ,8250 ,,
240,제주특별자치도 서귀포시 대정읍 신평리 976,전,2808 ,33500 ,33500 ,,
241,제주특별자치도 서귀포시 대정읍 신평리 977,전,6423 ,20000 ,15900 ,,
242,제주특별자치도 서귀포시 대정읍 신평리 980,임,3871 ,20000 ,15400 ,,
243,제주특별자치도 서귀포시 대정읍 신평리 981,임,1253 ,20000 ,14600 ,,
244,제주특별자치도 서귀포시 대정읍 신평리 989,임,942 ,20000 ,9580 ,,
245,제주특별자치도 서귀포시 대정읍 신평리 1378,전,4306 ,33500 ,30400 ,,
246,제주특별자치도 서귀포시 대정읍 신평리 1379,전,764 ,33500 ,30400 ,,
247,제주특별자치도 서귀포시 대정읍 동일리 3099-2,전,3061 ,26500 ,54600 ,,
248,제주특별자치도 서귀포시 대정읍 보성리 1518,전,2615 ,17500 ,22900 ,,
249,제주특별자치도 서귀포시 대정읍 보성리 1743,과,1841 ,112000 ,44500 ,,
250,제주특별자치도 서귀포시 대정읍 보성리 1894,임,4277 ,31000 ,26600 ,,
251,제주특별자치도 서귀포시 대정읍 보성리 1951-9,임,984 ,9000 ,5850 ,,
252,제주특별자치도 서귀포시 대정읍 무릉리 1214-2,전,6387 ,25000 ,23000 ,,
253,제주특별자치도 서귀포시 대정읍 무릉리 1314,전,5008 ,20000 ,18300 ,,
254,제주특별자치도 서귀포시 대정읍 무릉리 1420,전,4401 ,27000 ,23300 ,,
255,제주특별자치도 서귀포시 대정읍 영락리 64-3,전,5079 ,27000 ,24800 ,,
256,제주특별자치도 서귀포시 대정읍 신도리 498-1,전,1213 ,14000 ,16000 ,,
257,제주특별자치도 서귀포시 대정읍 신도리 652-2,임,43 ,37000 ,19800 ,,
258,제주특별자치도 서귀포시 대정읍 신도리 1049-2,전,3167 ,25000 ,15100 ,,
259,제주특별자치도 서귀포시 대정읍 신도리 1182,전,4664 ,25000 ,21600 ,,
