"야영(캠핑)장명",야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,부지면적,건축연면적,1일최대수용인원수,주차장면수,편의시설,안전시설,기타부대시설,이용시간,이용요금,관리기관전화번호,관리기관명,데이터기준일자
"(유)국제문화스포츠교육원 제주힐링캠프",자동차야영장,33.3825865,126.870343,제주특별자치도 서귀포시 성산읍 독자봉로51번길 27,,064-764-1166,19,,,76,,공동취사장. 공중화장실. 공중샤워장,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"농사체험자동차야영장",자동차야영장,33.4490502,126.9194765,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 116,,064-782-1727,15,,,60,,공동취사장. 화장실. 샤워실 등,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"제주캠핑카라반",자동차야영장,33.3303849,126.8356157,제주특별자치도 서귀포시 표선면 표선백사로 176,,064-787-8202,15,,,60,,관리동. 공동화장실,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"돌고래하우스",자동차야영장,33.2327478,126.4973051,제주특별자치도 서귀포시 이어도로 826-58,,064-739-7704,4,,,16,,관리동(주택),모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"원앙캠핑장",자동차야영장,33.3004229,126.5820093,제주특별자치도 서귀포시 돈내코로 120(상효동),,064-762-2314,6,,,24,,관리동. 편의점 등,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"중문카라반",자동차야영장,33.2383593,126.4296966,제주특별자치도 서귀포시 이어도로 81(대포동),,064-739-8131,20,,,80,,관리동. 음식점 등,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"캠파제주",자동차야영장,33.2983964,126.5989144,제주특별자치도 서귀포시 516로 574-23,,064-767-1253,8,,,32,,샤워실. 화장실. 카페 등,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"쇠소깍오토파크",자동차야영장,33.2510337,126.6145822,제주특별자치도 서귀포시 칠십리로 638,,064-762-1155,12,,,48,,관리동,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"서건도카라반",자동차야영장,33.2325133,126.4980408,제주특별자치도 서귀포시 이어도로 826-51(강정동),,064-739-8012,15,,,60,,관리동. 휴게음식점,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"작은바람언덕",자동차야영장,33.2764797,126.7081007,제주특별자치도 서귀포시 남원읍 태위로 592,,,2,,,8,,관리동(주택),모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"제주파인비치 카라반",자동차야영장,33.2870359,126.7461901,제주특별자치도 서귀포시 남원읍 태흥리 610.610-1,,064-764-2918,6,,,24,,관리동. 화장실,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"팜핑제주",자동차야영장,33.2689466,126.4706231,제주특별자치도 서귀포시 중산간서로400번길 107,,064-760-1060,7,,,28,,관리동,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"서귀포호텔 카라반 캠핑장",자동차야영장,33.2719361,126.3916356,제주특별자치도 서귀포시 상예로289 (상예동),,064-738-0123,20,,,80,,관리동,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"동광농촌체험휴양마을",야영장,33.3066104,126.3352781,제주특별자치도 서귀포시 안덕면 동광로 107,,064-794-2298,10,,,40,,공동화장실. 관리동. 대피소 등,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"서귀포자연휴양림야영장",야영장,33.3116723,126.4565667,제주특별자치도 서귀포시 1100로 882(대포동),,064-784-7314,40,,,160,,공동화장실 등,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"중문진실캠핑장",야영장,33.2526828,126.4162443,제주특별자치도 서귀포시 천제연로 132(중문동),,064-739-1036,24,,,96,,관리동,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
"최남단글램핑",야영장,33.2116629,126.2538306,제주특별자치도 서귀포시 대정읍 최남단해안로 113,,,5,,,20,,공동취사시설. 샤워실 등,모두구비,,,,064-760-2862,서귀포시 관광진흥과,2017-10-16
