순번,구분,상호명,소재지,연락처
1,일반유원시설업,한국공항㈜제주민속촌,제주특별자치도 서귀포시 표선면 민속해안로 631-34,064-787-4501
2,일반유원시설업,㈜대한항공 정석항공관,제주특별자치도 서귀포시 표선면 녹산로 554,064-784-5322
3,일반유원시설업,부국개발㈜여미지식물원,제주특별자치도 서귀포시 중문관광로 93(색달동),064-735-1120
4,일반유원시설업,산방산랜드,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-32,064-794-1425
5,일반유원시설업,휘닉스 제주섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,064-731-7925
6,일반유원시설업,피오디코리아㈜,제주특별자치도 서귀포시 법환상로2번길 97-13(법환동),064-739-7707
7,일반유원시설업,㈜아쿠아랜드,제주특별자치도 서귀포시 월드컵로 31,064-731-1930
8,일반유원시설업,㈜롯데호텔제주,제주특별자치도 서귀포시 중문관광로72번길 35,064-731-1000
9,일반유원시설업,제주코코몽 에코파크㈜,제주특별자치도 서귀포시 남원읍 태위로 536,064-764-7777
10,일반유원시설업,금호리조트㈜,제주특별자치도 서귀포시 남원읍 태위로 522-12,064-766-8031
11,일반유원시설업,㈜대한항공 정석비행장,제주특별자치도 서귀포시 표선면 녹산로 679-11,064-780-0312
12,일반유원시설업,산지물 물놀이장,제주특별자치도 서귀포시 중산간동로 7971(동홍동),
13,일반유원시설업,㈜알피티코리아,제주특별자치도 서귀포시 상예동 162,070-4858-4653
14,기타유원시설업,어린이나라방방,제주특별자치도 서귀포시 동홍중앙로52번길 14-1(동홍동),064-762-4478
15,기타유원시설업,헬로방방,"제주특별자치도 서귀포시 동홍북로 74, 2층(동홍동)",064-733-7953
16,기타유원시설업,에스케이엘이씨㈜,제주특별자치도 서귀포시 토평공단로78-27(토평동),064-733-3500
17,기타유원시설업,소풍키즈카페,제주특별자치도 서귀포시 중산간동로 8044-4,064-732-0020
18,기타유원시설업,주식회사 크리에이티브통제주 성읍,제주특별자치도 서귀포시 표선면 번영로 2644,064-805-0905
19,기타유원시설업,제주항공우주박물관,제주특별자치도 서귀포시 안덕면 녹차분재로 218,064-800-2000
