연번,유형,구분,구분 상세,1월 취득 필지,1월 취득 면적 (㎡),1월 취득 금액 (백만원),2월 취득 필지,2월 취득 면적 (㎡),2월 취득 금액 (백만원),3월 취득 필지,3월 취득 면적 (㎡),3월 취득 금액 (백만원),4월 취득 필지,4월 취득 면적 (㎡),4월 취득 금액 (백만원),5월 취득 필지,5월 취득 면적 (㎡),5월 취득 금액 (백만원),6월 취득 필지,6월 취득 면적 (㎡),6월 취득 금액 (백만원),7월 취득 필지,7월 취득 면적 (㎡),7월 취득 금액 (백만원),8월 취득 필지,8월 취득 면적 (㎡),8월 취득 금액 (백만원),9월 취득 필지,9월 취득 면적 (㎡),9월 취득 금액 (백만원),10월 취득 필지,10월 취득 면적 (㎡),10월 취득 금액 (백만원),11월 취득 필지,11월 취득 면적 (㎡),11월 취득 금액 (백만원),12월 취득 필지,12월 취득 면적 (㎡),12월 취득 금액 (백만원)
1,주체별,개인,미국교포,62,69826,170,19,15626,183,7,7076,161,17,25794,213,11,8560,163,5,3392,622,10,6263,199,13,23984,1533,3,8340,87,26,12442,358,5,14665,814,5,10834,776
2,주체별,개인,기타교포,46,40470,2130,13,13765,1751,6,11534,115,13,7367,294,18,48109,787,19,14701,780,20,6625,479,10,1962,257,10,13444,333,11,9963,71,7,572,228,11,7512,2246
3,주체별,개인,순수외국인,258,58921,1962,208,20551,2263,161,24601,3326,36,6577,810,86,69740,5572,73,19094,6177,94,11688,2517,76,21561,3016,40,20965,1354,53,38191,8235,51,9790,2184,80,30510,3389
4,주체별,법인,미국합작법인,1,3712,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4099,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,주체별,법인,기타합작법인,5,28940,0,3,3,4,3,25388,1870,5,862084,35671,4,5704,1070,1,4590,900,12,5645,2483,3,6677,1065,0,0,0,1,3,0,0,0,0,0,0,0
6,주체별,법인,순수외국법인,7,282000,5925,6,16999,900,13,10492,2534,44,5918,139,24,5172,2261,51,7214,139,0,0,0,7,3399,1842,7,317,14,0,0,0,10,4935,4479,0,0,0
7,주체별,정부.단체등,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,국적별,미국,,68,74485,367,29,21020,389,10,7651,216,25,26124,276,12,8617,169,5,3391,622,16,11397,1175,21,33288,2516,8,8343,87,28,13501,435,6,16490,887,8,29293,867
9,국적별,기타미주,,31,63186,949,3,6767,126,5,12788,598,9,6194,72,10,13546,143,12,14457,229,7,5471,294,1,260,0,5,4063,313,1,3544,0,3,263,121,3,1217,66
10,국적별,영국.프랑스.독일,,12,1021,85,0,0,0,0,0,0,0,0,0,4,49556,750,0,0,0,0,0,0,0,0,0,0,0,0,3,2333,326,1,94,40,0,0,0
11,국적별,기타유럽,,1,661,40,1,4,33,0,0,0,0,0,0,2,229,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,국적별,일본,,5,4205,340,3,175,48,4,4101,2,0,0,0,0,0,0,0,0,0,0,0,0,10,3874,68,3,6043,0,7,5772,10,2,153,46,3,648,151
13,국적별,중국,,246,30548,2391,204,31575,1657,160,26503,5026,73,869559,36530,95,18658,5429,124,29505,7008,113,16653,4928,73,10694,2779,42,20466,1303,49,8303,3031,59,12769,6573,81,17582,5280
14,국적별,기타아시아(대만.태국등),,6,257166,16,4,478,1128,6,2410,281,2,3066,27,16,7992,1515,3,476,272,3,799,143,1,2727,1421,0,0,0,1,5,13,1,104,30,1,116,47
15,국적별,그외국가,,10,52597,6025,5,6925,1720,5,25638,1882,6,2797,222,4,38688,1742,5,1161,488,0,0,0,3,6740,930,2,4151,85,2,27141,4849,1,89,8,0,0,0
16,국적별,신고,,352,420430,10129,240,52134,5101,188,72480,7976,103,891461,37049,143,137285,9852,147,47465,8618,136,29520,6534,107,56607,7714,56,33666,1731,84,48042,8592,72,28136,7632,95,48273,6411
17,취득원인별,신고,계약,26,43803,0,9,14810,0,0,0,0,6,1613,78,0,0,0,2,1525,0,0,0,0,2,976,0,0,0,0,6,10733,0,0,0,0,0,0,0
18,취득원인별,신고,계약외,1,19636,83,0,0,0,2,6612,29,6,14665,0,0,0,0,0,0,0,3,4799,6,0,0,0,4,9400,57,1,1825,72,1,1825,72,1,583,0
19,취득원인별,허가,계속보유,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,취득원인별,주택용지,,11,397,371,15,860,1123,7,628,123,8,563,91,14,1510,512,8,240,137,19,1487,1105,8,179,192,4,189,40,15,606,285,13,731,468,10,451,323
21,취득용도별,주택용지,아파트,8,6919,958,12,4703,498,7,8447,850,4,2328,150,9,7593,1615,5,1885,435,8,5502,1138,12,5303,1050,5,2268,47,8,945,159,13,4216,1189,10,3379,1050
22,취득용도별,주택용지,단독주택,17,4698,290,18,1005,72,8,3829,638,14,1607,553,6,5937,971,5,6066,958,6,1481,333,8,2949,838,7,123,226,2,202,15,4,246,92,5,928,174
23,취득용도별,레져용지,기타,231,68531,6564,166,25582,1379,119,11749,2707,54,8423,272,55,6490,2461,70,5248,266,68,4394,226,41,2209,146,20,1091,41,15,1711,190,24,1355,237,32,3594,574
24,취득용도별,상업용지,,8,1571,1127,9,27,262,3,2391,710,6,1538,1776,0,0,0,3,293,36,2,527,490,2,1223,355,4,9,13,2,1323,1377,1,5,8,2,588,8
25,취득용도별,공장용지,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,취득용도별,기타,,104,401754,902,29,34767,1767,46,52048,2977,29,893280,34285,59,115755,4294,58,35257,6787,36,20929,3248,38,45719,5133,20,39386,1421,49,55813,6638,18,23409,5709,37,39916,4282
