연번,등록일자,공연장명칭,공연장소재지(도로명),전화번호,객석수,
1,2001-09-11,한라아트홀 대극장,제주특별자치도 제주시 한라대학로 38 (노형동외 36필지(한라대학로38)),064-741-7602,831,
2,2002-0-710,예술극장,제주특별자치도 제주시 신산로 82 (일도이동),064-727-7800,346,
3,2002-12-30,제주해변공연장,제주특별자치도 제주시 중앙로 2 (삼도이동),064-728-3966,1188,
4,2002-12-30,제주특별자치도문예회관대극장,제주특별자치도 제주시 동광로 69 (일도이동(동광로89)),064-710-7604,892,
5,2002-12-30,제주특별자치도 문예회관 소극장,제주특별자치도 제주시 동광로 69 (일도이동(동광로89)),064-710-7604,200,
6,2002-03-08,(주)제주드림랜드,제주특별자치도 제주시 애월읍 평화로 1529,064-792-6102,980,
7,2003-10-16,한라,제주특별자치도 제주시 명림로 575-107 (회천동),064-725-9000,248,
8,2005-03-28,제주아트리움,제주특별자치도 제주시 노형로 89 (해안동),064-746-9007,1189,
9,2007-08-29,저지문화예술야외공연장,제주특별자치도 제주시 한경면 저지14길 35,064-710-7801,600,
10,2008-11-14,예향당,제주특별자치도 제주시 오일장동길 36 (도두일동지하 (꽃밭길 9-3)),,130,
11,2008-11-24,더마파크 공연장,제주특별자치도 제주시 한림읍 월림7길 155,064-795-8080,1389,
12,2009-04-23,쇼월드,제주특별자치도 제주시 조천읍 남조로 2064,064-782-5044,700,
13,2009-11-10,제주대학교 아라뮤즈홀,제주특별자치도 제주시 제주대학로 102 (아라일동),064-754-4697,448,
14,2010-03-03,설문대여성문화센터공연장,제주특별자치도 제주시 선덕로8길 12 (연동),064-710-4244,405,
15,2010-05-18,제주아트센터,제주특별자치도 제주시 오남로 231 (오라이동),064-753-2209,1184,
16,2011-04-07,제주관광대학 컨벤션홀,제주특별자치도 제주시 애월읍 평화로 2715 (제주관광대학 컨벤션홀),064-750-3552,492,
17,2011-04-27,제주폴리아트센터,제주특별자치도 제주시 애월읍 산록서로 18,064-799-9334,880,
18,2012-04-02,셰프라인월드 공연장,제주특별자치도 제주시 구좌읍 비자림로 1181,064-782-0990,850,
19,2013-10-08,영화문화예술센터 2관,제주특별자치도 제주시 중앙로5길 6 (일도일동 영화문화예술센터),064-727-7800,260,
20,2014-04-24,세이레아트센터,제주특별자치도 제주시 서광로 182-6 지하층 (삼도일동 원앙빌딩),064-744-8911,99,
21,2015-10-22,오백장군갤러리 공연장,제주특별자치도 제주시 조천읍 남조로 2023 (제주돌문화공원 오백장군갤러리공연장),064-710-7742,160,
22,2017-01-10,제주난타극장,제주특별자치도 제주시 선돌목동길 56-26 (오등동),064-723-8878,651,
