"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
50110-00112,제1-58호,어린이공원,제주특별자치도 제주시 도련1동 2277,제주특별자치도 제주시 도련1동 2277,33.507686,126.586458,2900,,,,,,,,,2017-06-26
50110-00111,제1-57호,어린이공원,제주특별자치도 제주시 도련1동 2224,제주특별자치도 제주시 도련1동 2224,33.507902,126.581577,2400,,,,,,,,,2017-06-26
50110-00110,제1-56호,어린이공원,제주특별자치도 제주시 도련1동 2264-9,제주특별자치도 제주시 도련1동 2264-9,33.508948,126.585119,2030,,,,,,,,,2017-06-26
50110-00109,제1-55호,어린이공원,제주특별자치도 제주시 도련1동 1769-1,제주특별자치도 제주시 도련1동 1769-1,33.511758,126.588616,2020,,,,,,,,,2017-06-26
50110-00108,제1-54호,어린이공원,제주특별자치도 제주시 도련1동 1795-3,제주특별자치도 제주시 도련1동 1795-3,33.5118797,126.591068,3000,,,,,,,,,2017-06-26
50110-00107,제1-53호,어린이공원,제주특별자치도 제주시 도련2동 578-5,제주특별자치도 제주시 도련2동 578-5,33.514982,126.589983,1520,,,,,,,,,2017-06-26
50110-00106,제1-52호,어린이공원,제주특별자치도 제주시 노형동 1285-2,제주특별자치도 제주시 노형동 1285-2,33.485487,126.476693,1905,,,,,,,,,2017-06-26
50110-00105,제1-51호,어린이공원,제주특별자치도 제주시 노형동 1056-4,제주특별자치도 제주시 노형동 1056-4,33.487422,126.475632,2346,,,,,,,,,2017-06-26
50110-00104,제1-50호,어린이공원,제주특별자치도 제주시 노형동 1066-1,제주특별자치도 제주시 노형동 1066-1,33.488449,126.477862,1957,,,,,,,,,2017-06-26
50110-00103,제1-49호,어린이공원,제주특별자치도 제주시 노형동 1274-8,제주특별자치도 제주시 노형동 1274-8,33.489175,126.481377,2165,,,,,,,,,2017-06-26
