"업소명",업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,전화번호,객실수,부대시설,주차장보유여부,결제방법,홈페이지주소,주변관광정보,위도,경도,데이터기준일자
"달밭코티지",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 선흘동1길 31-1,,,2,,,,,,33.5140149,126.7034945,2017-08-18
"숨은그림찾기",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕서1길 8-1,,,2,,,,,,33.54108567,126.6593875,2017-08-18
"코삿헌",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북촌9길 13-5,,,2,,,,,,33.54873775,126.6947873,2017-08-18
"촌스테이",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 조와로 141,,,1,,,,,,33.522960,126.6352571,2017-08-18
"토끼네펜션",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕남12길 34. B동,,,2,,,,,,33.53398041,126.6733132,2017-08-18
"더로맨틱하우스",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 교래1길 26,,,1,,,,,,33.43799245,126.6748467,2017-08-18
"우혁이네집",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 비자림로 685-12,,,2,,,,,,33.43719403,126.6804498,2017-08-18
"달의낮잠",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북촌1길 52-6,,,3,,,,,,33.54829615,126.6848497,2017-08-18
"옥화장",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북촌1길 52-7,,,2,,,,,,33.54870302,126.6849383,2017-08-18
"너도바람꽃",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 와선로 162-28. 1호,,,1,,,,,,33.48051095,126.6890287,2017-08-18
"카디널민박(2)",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신촌남1길 41,,,2,,,,,,33.52689521,126.618167,2017-08-18
"먼나머루한옥민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 남조로 2528. 1동,,,1,,,,,,33.48885281,126.6506542,2017-08-18
"아이놀공",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 선흘남4길 33,,,1,,,,,,33.50754175,126.7047283,2017-08-18
"십칠마일즈",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북흘로 112-2,,,1,,,,,,33.53904691,126.699864,2017-08-18
"빅토리",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 남조로 3069,,,6,,,,,,33.53314133,126.6424731,2017-08-18
"로뎀나무쉼팡",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 곱은달서길 173-8. 제3동,,,3,,,,,,33.50041286,126.6607166,2017-08-18
"대흘그곳II",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 곱은달서길 60-10. 제1동,,,1,,,,,,33.5091931,126.6672456,2017-08-18
"대흘그곳I",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 곱은달서길 60-8. 제1동,,,1,,,,,,33.50922118,126.6674073,2017-08-18
"제주드레곤하우스함덕점",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함와로 66,,,3,,,,,,33.53421638,126.6757279,2017-08-18
"신촌1974",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신촌7길 36,,,4,,,,,,33.53706044,126.6225063,2017-08-18
"놀멍쉬멍",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕6길 19-14,,,3,,,,,,33.54209355,126.6616277,2017-08-18
oshio 오시오,민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북촌서길 19,,,4,,,,,,33.5485195,126.6864554,2017-08-18
"지니스홈",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북선로 235. 101호,,,2,,,,,,33.51964352,126.6892213,2017-08-18
"함덕스테이",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신북로 466,,,2,,,,,,33.54369632,126.6599451,2017-08-18
"오해피",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕24길 14-3,,,3,,,,,,33.53968606,126.6761542,2017-08-18
"해동퐁낭",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북촌서길 1,,,2,,,,,,33.54816387,126.6847664,2017-08-18
"제주마농",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신흥로1길 16-10,,,1,,,,,,33.54782258,126.6512417,2017-08-18
"화려한휴가",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북촌7길 25-5,,,2,,,,,,33.55017175,126.6925254,2017-08-18
"닥마당왈츠",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신촌5길 40-1,,,1,,,,,,33.53752849,126.6212073,2017-08-18
"게으르게",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신북로 410. 가동,,,1,,,,,,33.54340094,126.6540443,2017-08-18
"하루앤하루",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 조천7길 12,,,1,,,,,,33.53751371,126.635406,2017-08-18
"게스트하우스8PM함덕점",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신촌남8길 65-12,,,3,,,,,,33.52479047,126.6247779,2017-08-18
"제주하하",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북선로 237. 1호,,,1,,,,,,33.51947483,126.6893986,2017-08-18
"덕분이네",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북선로 237. 4호,,,1,,,,,,33.51947483,126.6893986,2017-08-18
"제주도다",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신촌북1길 20-1(신촌리 2226-1),,,2,,,,,,33.53564894,126.6174402,2017-08-18
"대월",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕7길 2(함덕리 3096-1),,,2,,,,,,33.54381981,126.6609586,2017-08-18
"함덕바당",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕29길 25-8,,,1,,,,,,33.54212128,126.6744571,2017-08-18
"거문오름오디하우스",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 거문오름길 5,,,1,,,,,,33.45958834,126.7125727,2017-08-18
