연번,업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
1,제과점영업,명당양과삼양점,제주특별자치도 제주시 일주동로 380-1 (삼양이동),제주특별자치도 제주시 삼양이동 2181번지 3호 ,43,064-725-0567,제과점영업
2,제과점영업,삼일,제주특별자치도 제주시 서문로 24-1 (용담일동),제주특별자치도 제주시 용담일동 231번지 2호 ,99,064-753-6714,제과점영업
3,제과점영업,중앙양과,제주특별자치도 제주시 중앙로 72 (이도일동),제주특별자치도 제주시 이도일동 1404번지 2호 ,112,064-722-7611,제과점영업
4,제과점영업,종스브레드,제주특별자치도 제주시 중앙로 128-1 (삼도이동),제주특별자치도 제주시 삼도이동 231번지 3호 외1필지(1층) ,64.8,,제과점영업
5,제과점영업,칠성베이커리,제주특별자치도 제주시 애월읍 애월로 120,제주특별자치도 제주시 애월읍 애월리 1584번지 4호 ,43,064-799-0666,제과점영업
6,제과점영업,명당양과,제주특별자치도 제주시 신광로 46 (연동),제주특별자치도 제주시 연동 261번지 20호 ,82.8,064-746-1848,제과점영업
7,제과점영업,삼복당,,제주특별자치도 제주시 용담일동 135번지 15호 ,14,064-752-2475,제과점영업
8,제과점영업,오복당,제주특별자치도 제주시 서광로 173 (용담일동),제주특별자치도 제주시 용담일동 2829번지 3호 ,43.45,064-753-3916,제과점영업
9,제과점영업,서울빵집,,제주특별자치도 제주시 애월읍 하귀1리 1386번지 5호 ,0,064-799-2947,제과점영업
10,제과점영업,인화,제주특별자치도 제주시 신산로 89 (일도이동),제주특별자치도 제주시 일도이동 339번지 4호 ,21,064-758-7514,제과점영업
11,제과점영업,수성빵집,,제주특별자치도 제주시 조천읍 신촌리 1823번지 ,16.94,064-783-6522,제과점영업
12,제과점영업,덕인당,제주특별자치도 제주시 조천읍 신북로 36,제주특별자치도 제주시 조천읍 신촌리 2586번지 1호 ,27.84,064-783-6153,제과점영업
13,제과점영업,신라제과,제주특별자치도 제주시 구좌읍 구좌로 46 (외 1필지),제주특별자치도 제주시 구좌읍 세화리 1419번지 외 1필지 ,28.37,064-783-2106,제과점영업
14,제과점영업,성남당,제주특별자치도 제주시 서광로 207 (삼도일동),제주특별자치도 제주시 삼도일동 519번지 14호 ,26.5,064-752-5214,제과점영업
15,제과점영업,현대,제주특별자치도 제주시 관덕로14길 14 (이도일동),제주특별자치도 제주시 이도일동 1434번지 1호 ,14.4,064-757-5020,제과점영업
16,제과점영업,가야,제주특별자치도 제주시 중앙로 320 (이도이동),제주특별자치도 제주시 이도이동 1027번지 1호 ,16.8,064-757-3586,제과점영업
17,제과점영업,한림뉴욕당,제주특별자치도 제주시 한림읍 한림로 665-1,제주특별자치도 제주시 한림읍 한림리 1351번지 1호 ,0,064-796-3477,제과점영업
18,제과점영업,훈베이커리,제주특별자치도 제주시 동광로 26 (이도이동),제주특별자치도 제주시 이도이동 1174번지 18호 ,53.82,064-758-0292,제과점영업
19,제과점영업,로얄,제주특별자치도 제주시 신산로15길 36 (일도이동),제주특별자치도 제주시 일도이동 360번지 ,38.5,064-758-1465,제과점영업
20,제과점영업,찐빵이랑도넛,제주특별자치도 제주시 애월읍 하귀로 50,제주특별자치도 제주시 애월읍 하귀2리 1884번지 2호 ,38.08,064-713-8804,제과점영업
21,제과점영업,태화빵집,제주특별자치도 제주시 도령로 11 (노형동7),제주특별자치도 제주시 노형동 1296번지 3호 7 ,95.7,064-746-3444,제과점영업
22,제과점영업,우리동네빵파티,제주특별자치도 제주시 조천읍 신북로 237,제주특별자치도 제주시 조천읍 조천리 2366번지 ,52.7,064-782-7281,제과점영업
23,제과점영업,(주)한림공원과자점,제주특별자치도 제주시 한림읍 한림로 300,제주특별자치도 제주시 한림읍 협재리 2487번지 ,96.36,064-796-0001,제과점영업
24,제과점영업,연동빵집,제주특별자치도 제주시 은남4길 11 (연동),제주특별자치도 제주시 연동 293번지 97호 ,37.38,064-746-0260,제과점영업
25,제과점영업,빵굽는작은마을,제주특별자치도 제주시 진동로1길 13 (화북일동),제주특별자치도 제주시 화북일동 1982번지 9호 ,83.3,,제과점영업
26,제과점영업,조이몽베이커리,제주특별자치도 제주시 태성로 21 105호 (일도이동 성환아파트상가),제주특별자치도 제주시 일도이동 113번지 3호 성환아파트상가 105호,40.25,064-722-7624,제과점영업
27,제과점영업,빵굼터도남점,제주특별자치도 제주시 신성로10길 10 (도남동 제1호),제주특별자치도 제주시 도남동 87번지 8호 제1호(1층) ,49.5,064-759-1230,제과점영업
28,제과점영업,빵이야기,제주특별자치도 제주시 한림읍 한림중앙로 36,제주특별자치도 제주시 한림읍 한림리 942번지 8호 ,49.02,064-796-7953,제과점영업
29,제과점영업,빵도사케익도사,제주특별자치도 제주시 연미길 64 1층 (오라삼동),제주특별자치도 제주시 오라삼동 2830번지 1호 ,66,064-722-2977,제과점영업
30,제과점영업,파리바게트광양점,제주특별자치도 제주시 서광로 281 (이도일동),제주특별자치도 제주시 이도일동 1782번지 3호 ,53.92,064-758-5591,제과점영업
31,제과점영업,롯데리아신제주점,제주특별자치도 제주시 연북로 22 101호 (노형동),제주특별자치도 제주시 노형동 719번지 1호 101호,184.8,064-748-2244,제과점영업
32,제과점영업,브레드빠빠,제주특별자치도 제주시 노연로 138 (연동),제주특별자치도 제주시 연동 294번지 39호 ,40.3,064-742-0059,제과점영업
33,제과점영업,친구베이커리,제주특별자치도 제주시 남녕로 53 (노형동),제주특별자치도 제주시 노형동 1046번지 16호 ,14.25,064-748-5556,제과점영업
34,제과점영업,데이앤데이제주점,제주특별자치도 제주시 탑동로 지하 38 (삼도이동),제주특별자치도 제주시 삼도이동 1259번지 (지하1층) ,75.91,064-729-1203,제과점영업
35,제과점영업,롯데리아제주시청점,제주특별자치도 제주시 중앙로 246 1층 (이도이동),제주특별자치도 제주시 이도이동 1185번지 8호 ,236.32,064-723-1212,제과점영업
36,제과점영업,레지나제과,제주특별자치도 제주시 애월읍 곽지1길 3,제주특별자치도 제주시 애월읍 곽지리 2061번지 1호 ,25.22,064-799-0902,제과점영업
37,제과점영업,혼아름베이커리,제주특별자치도 제주시 구좌읍 세평항로 1,제주특별자치도 제주시 구좌읍 평대리 148번지 1호 ,40.09,064-782-6917,제과점영업
38,제과점영업,아시아빵집,제주특별자치도 제주시 중앙로 77 107호 (이도일동),제주특별자치도 제주시 이도일동 1413번지 1호 107호,25.16,064-755-9281,제과점영업
39,제과점영업,요한이네,제주특별자치도 제주시 관덕로 16-1 1층 (삼도이동),제주특별자치도 제주시 삼도이동 956번지 1호 ,28.8,064-756-3539,제과점영업
40,제과점영업,도니버거,제주특별자치도 제주시 중앙로 지하 60 (일도일동중앙지하상가 123-126호),제주특별자치도 제주시 일도일동 1425번지 3호 중앙지하상가 123-126호 ,48.07,064-751-1441,제과점영업
41,제과점영업,케익나라베이커리,제주특별자치도 제주시 애월읍 일주서로 7094,제주특별자치도 제주시 애월읍 하귀1리 1549번지 1호 ,24,064-713-5332,제과점영업
42,제과점영업,명당양과시청점,제주특별자치도 제주시 중앙로 220 (이도이동),제주특별자치도 제주시 이도이동 1772번지 37호 ,205.44,064-756-2352,제과점영업
43,제과점영업,파리바게뜨제주일도점,제주특별자치도 제주시 고마로 140 1층 (이도이동),제주특별자치도 제주시 이도이동 408번지 7호 ,154.22,064-751-9921,제과점영업
44,제과점영업,파리바게트화북점,제주특별자치도 제주시 동화로 10 (화북일동),제주특별자치도 제주시 화북일동 1223번지 ,78.96,064-755-0083,제과점영업
45,제과점영업,빵굼터동문점,제주특별자치도 제주시 동문로 82 (일도이동),제주특별자치도 제주시 일도이동 982번지 5호 ,37.2,064-759-1230,제과점영업
