"야영(캠핑)장명",야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,부지면적,건축연면적,1일최대수용인원수,주차장면수,편의시설,안전시설,기타부대시설,이용시간,이용요금,관리기관전화번호,관리기관명,데이터기준일자
"다인카라반",자동차야영장,33.471401,126.351045,제주특별자치도 제주시 애월읍 애월해안로 400-9,제주특별자치도 제주시 애월읍 고내리 79-8,064-799-2600,3,1523,,18,3,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"카라반, 리조트",,,064-728-2782,제주시청,2017-04-30
"제주플래티늄카라반",자동차야영장,33.483356,126.401434,제주특별자치도 제주시 애월읍 하귀미수포길 5-8,제주특별자치도 제주시 애월읍 하귀2리 1806-2,064-805-9999,11,1374,160.86,38,20,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,카라반. 펜션,,,064-728-2782,제주시청,2017-04-30
"제주할리데이",자동차야영장,33.324239,126.275328,제주특별자치도 제주시 한경면 녹차분재로 354,제주특별자치도 제주시 한경면 저지리 3267,064-805-0006,14,2700,434,45,20,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"카라반, 카페",,,064-728-2782,제주시청,2017-04-30
"폴리파크카라반",자동차야영장,33.386848,126.375040,제주특별자치도 제주시 애월읍 산록서로 18,제주특별자치도 제주시 애월읍 어음리 3912,064-799-0166,4,2100,300,16,10,하수도+전기+화장실+취사실+샤워실,소화기,카라반,,,064-728-2782,제주시청,2017-04-30
"제주올레카라반&캠핑",자동차야영장,33.400133,126.254213,제주특별자치도 제주시 한림읍 옹포2길 37-54,제주특별자치도 제주시 한림읍 옹포리 732-1,064-713-0070,11,2650,40,50,30,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,카라반,,,064-728-2782,제주시청,2017-04-30
"제주도캠핑카라반",자동차야영장,33.542264,126.675482,,제주특별자치도 제주시 조천읍 함덕리 265-1,064-782-8202,13,1850,18,52,15,상하수도+전기+화장실+취사실+샤워실,소화기,카라반,,,064-728-2782,제주시청,2017-04-30
"캠핑스타",자동차야영장,33.544093,126.674831,,제주특별자치도 제주시 조천읍 함덕리 산4,064-782-0053,28,6600,64,76,28,상하수도+전기+화장실+취사실+샤워실,소화기,카라반,,,064-728-2782,제주시청,2017-04-30
"마레보카라반",자동차야영장,33.470592,126.354463,제주특별자치도 제주시 애월읍 신엄안3길 135,제주특별자치도 제주시 애월읍 고내리 41,064-799-2088,1,330,,8,3,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,카라반,,,064-728-2782,제주시청,2017-04-30
"제주베이스캠프",자동차야영장,33.507794,126.697967,제주특별자치도 제주시 조천읍 중산간동로 1194,제주특별자치도 제주시 조천읍 선흘리 2861-4,070-7011-7274,26,5562,197.18,100,26,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,,,,064-728-2782,제주시청,2017-04-30
"응",자동차야영장,33.334700,126.256967,제주특별자치도 제주시 한경면 용금로 758-1,제주특별자치도 제주시 한경면 저지리 1794,,2,1233,69.3,3,4,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,카라반,,,064-728-2782,제주시청,2017-04-30
