연번,업소명,업소소재지(도로명),소재지전화
1,호텔하니크라운,제주특별자치도 제주시 삼성로 10 (이도일동),064-758-4200
2,태화,제주특별자치도 제주시 관덕로15길 3-8 (일도일동),064-722-6171
3,더포레스트,제주특별자치도 제주시 관덕로15길 7-1 (일도일동),064-722-4147
4,비둘기,제주특별자치도 제주시 관덕로17길 37-6 (건입동),064-722-4550
5,송민,제주특별자치도 제주시 서광로32길 27-1 (이도이동),064-726-9799
6,송도,제주특별자치도 제주시 산지로 5 (건입동),064-726-0263
7,기린모텔,제주특별자치도 제주시 산지로 1-4 (건입동),064-758-9778
8,용연,제주특별자치도 제주시 흥운길 63-6 (용담이동),064-711-2661
9,남국,제주특별자치도 제주시 광양2길 13 (이도일동),064-722-4404
10,태양여관,제주특별자치도 제주시 한림읍 한림로17길 3,064-796-2025
11,유성여관,제주특별자치도 제주시 조천읍 함덕13길 9,064-783-8040
12,(주)칼호텔네트워크(제주KAL호텔),제주특별자치도 제주시 중앙로 151 (이도일동),064-720-6610
13,제일,제주특별자치도 제주시 칠성로길 37-4 (일도일동),064-752-5550
14,삼성,제주특별자치도 제주시 광양4길 8-2 (이도일동),064-757-0876
15,대원,제주특별자치도 제주시 동광로5길 18 (이도일동),064-752-1033
16,금성,제주특별자치도 제주시 용담로17길 22-2 (용담일동),064-757-3974
17,한성,제주특별자치도 제주시 서광로24길 2 (삼도일동),064-758-0667
18,광성,제주특별자치도 제주시 서광로29길 26 (이도일동),064-758-7755
19,영진,제주특별자치도 제주시 산지로 21-4 (건입동),064-755-7811
20,미성,제주특별자치도 제주시 중앙로23길 24-6 (이도일동),064-725-1663
21,삼보,제주특별자치도 제주시 서광로30길 4 (이도이동),064-758-9191
22,동양,제주특별자치도 제주시 동문로6길 4 (일도일동),064-758-7372
23,오형,제주특별자치도 제주시 중앙로15길 8-1 (이도일동),064-722-2310
24,만복,제주특별자치도 제주시 남성로 129-9 (삼도일동),064-757-3824
25,게스트하우스 레인보우인제주,제주특별자치도 제주시 광양1길 6 (이도일동),070-7635-0075
26,성림,제주특별자치도 제주시 서광로30길 2 (이도이동),064-757-4118
27,일조여관,제주특별자치도 제주시 광양2길 4-1 (이도일동),064-757-0189
28,한옥,제주특별자치도 제주시 광양8길 29 (이도이동),064-752-1526
29,진천,제주특별자치도 제주시 산지로 21-10 (건입동),064-752-1557
30,고려,제주특별자치도 제주시 삼무로 64 (연동),064-746-1661
31,게스트하우스 옐로우,제주특별자치도 제주시 관덕로15길 4 (일도일동),070-7648-0907
32,대호,제주특별자치도 제주시 도령로 92 (연동),064-746-2013
33,아라장,제주특별자치도 제주시 신대로 149 (연동),064-746-3491
34,장수,제주특별자치도 제주시 고전길 8 (이도일동),064-758-7846
35,영풍장,제주특별자치도 제주시 삼무로 70 (연동),064-746-2110
36,인성,제주특별자치도 제주시 광양8길 1-1 (이도이동),064-757-2939
37,동양,제주특별자치도 제주시 무근성7길 16-8 (삼도이동),064-753-8169
38,명승,제주특별자치도 제주시 중앙로3길 3 (건입동),064-757-0635
39,오라관광(주) 메종글래드제주,제주특별자치도 제주시 노연로 80 (연동),064-747-5000
40,미림,제주특별자치도 제주시 오현길 10 (이도일동),064-757-2700
41,수,제주특별자치도 제주시 광양8길 15 (이도이동),064-757-2194
42,신화,제주특별자치도 제주시 무근성7길 12-1 (삼도이동),064-753-4418
43,광명,제주특별자치도 제주시 중앙로 186-2 (이도일동),064-753-1659
44,대왕,제주특별자치도 제주시 도남로 3-1 (도남동),064-758-8437
45,제주썬,제주특별자치도 제주시 삼무로 67 (연동),064-741-8000
46,유한회사 형석로얄,제주특별자치도 제주시 신대로12길 45 (연동),064-743-2222
47,에버호텔,제주특별자치도 제주시 삼무로 75 (연동),064-742-2911
48,현대,제주특별자치도 제주시 신대로 68 (연동),064-742-2714
49,호텔 지,제주특별자치도 제주시 남성로 117 (삼도일동),064-753-4154
50,남경씨티호텔,제주특별자치도 제주시 중앙로 28 (일도일동),064-752-3301
51,아세아모텔,제주특별자치도 제주시 서광로26길 1 (삼도일동),064-748-2332
52,향림,제주특별자치도 제주시 오현길 78-9 (이도일동),064-758-7161
53,태광,제주특별자치도 제주시 서광로29길 16-13 (이도일동),064-757-2749
54,수원,제주특별자치도 제주시 산지로 37-7 (일도일동),064-757-3505
55,약속여인숙,제주특별자치도 제주시 한림읍 한림북동길 25-2,064-796-4928
56,제주마리나,제주특별자치도 제주시 신대로 45 (연동),064-746-6161
57,세안,제주특별자치도 제주시 중앙로14길 28 (삼도이동),064-752-8599
58,동백,제주특별자치도 제주시 서광로25길 4-6 (삼도일동),064-752-5572
59,은하,제주특별자치도 제주시 관덕로9길 31 (삼도이동),064-722-6715
60,천일,제주특별자치도 제주시 동문로6길 5-5 (일도일동),064-722-2097
61,은성,제주특별자치도 제주시 서광로25길 6-1 (삼도일동),064-756-1869
62,마라도,제주특별자치도 제주시 도남로 4 (삼도일동),064-727-3004
63,호스텔코리아,제주특별자치도 제주시 탑동로 17 (삼도이동),064-727-0027
64,동성,제주특별자치도 제주시 관덕로15길 5 (일도일동),064-722-2912
65,청수,제주특별자치도 제주시 관덕로8길 15-3 (이도일동),064-722-3228
66,명신,제주특별자치도 제주시 서사로 181 (오라일동),064-753-2261
67,오당,제주특별자치도 제주시 동문로 135 (건입동),064-722-6023
68,신라,제주특별자치도 제주시 용담로 114-1 (용담일동),064-753-3310
69,안성,제주특별자치도 제주시 동문로10길 6 (일도일동),064-757-0582
70,탐라여인숙,제주특별자치도 제주시 한림읍 한림로 685-10,064-796-4928
71,대동호텔,제주특별자치도 제주시 관덕로15길 6 (일도일동),064-722-3070
72,백록담,제주특별자치도 제주시 도남로 5 (도남동),064-752-9141
73,녹원,제주특별자치도 제주시 서광로25길 6 (삼도일동),064-753-7171
74,백호모텔,제주특별자치도 제주시 연동9길 3 (연동),064-742-1775
75,산호,제주특별자치도 제주시 서광로29길 22-12 (이도일동),064-722-2805
76,한진,제주특별자치도 제주시 남성로 119 (삼도일동),064-751-2480
77,서울,제주특별자치도 제주시 전농로7길 44-1 (삼도일동),064-753-5516
78,대구,제주특별자치도 제주시 산지로 19 (건입동),064-758-7076
79,대웅,제주특별자치도 제주시 광양2길 31 (이도일동),064-751-1712
80,한백,제주특별자치도 제주시 남성로 69 (용담일동),064-721-6766
81,보영,제주특별자치도 제주시 서사로 122 (삼도일동),064-722-9812
82,세원,제주특별자치도 제주시 서광로2길 17 (오라일동),064-752-8558
83,동해,제주특별자치도 제주시 서사로 182 (오라일동),064-723-3700
84,백조,제주특별자치도 제주시 전농로7길 43 (삼도일동),064-753-7900
85,영도,제주특별자치도 제주시 광양13길 4 (이도이동),064-752-7884
86,용운,제주특별자치도 제주시 광양13길 5 (이도이동),064-757-6582
87,아담,제주특별자치도 제주시 고전길 2 (이도일동),064-722-1245
88,한영,제주특별자치도 제주시 서광로 160 (오라일동),064-752-5597
89,남일,제주특별자치도 제주시 중앙로14길 30 (삼도이동),064-722-5623
90,화랑,제주특별자치도 제주시 무근성7길 12-6 (삼도이동),064-753-2257
91,씨스카이 게스트하우스,제주특별자치도 제주시 제원1길 18 (연동),064-742-4118
92,경성,제주특별자치도 제주시 서사로 168 (오라일동),064-757-2568
93,금동,제주특별자치도 제주시 중앙로 178-1 (이도일동),064-722-4695
94,아리랑,제주특별자치도 제주시 제원길 39 (연동),064-742-1191
95,제주팔레스개발(주),제주특별자치도 제주시 탑동로 9 (삼도이동),064-753-8811
96,제주미주호텔,제주특별자치도 제주시 신대로 60 (연동),064-746-4141
97,산지물호텔,제주특별자치도 제주시 제원길 37 (연동),064-748-2105
98,트윈스,제주특별자치도 제주시 남성로 129-6 (삼도일동),064-752-8801
99,성우장,제주특별자치도 제주시 도남로 5-1 (도남동),064-758-2535
100,예스,제주특별자치도 제주시 사장2길 43 (연동),064-742-0678
101,궁무인텔,제주특별자치도 제주시 서광로29길 2 (이도일동),064-753-0980
102,태양,제주특별자치도 제주시 중앙로3길 2 (일도일동),064-757-0948
103,뮤즈모텔,제주특별자치도 제주시 제원1길 15 (연동),064-746-6344
104,명동,제주특별자치도 제주시 중앙로2길 35-1 (삼도이동),064-722-3909
