"시장명",시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자
"대유대림상가",상설,제주특별자치도 제주시 일도2동 113-7,,매일,,,,,,,,,1996,,2017-04-20
"연동시장",상설,제주특별자치도 제주시 연동 290-51,,매일,,,,,,,,,1995,,2017-04-20
"화북종합시장",상설,제주특별자치도 제주시 화북1동 1947,,매일,,,,,,,,,1992,,2017-04-20
"신산시장",상설,제주특별자치도 제주시 일도2동 113-7,,매일,,,,,,,,,1992,,2017-04-20
"탑동유니코상가",상설,제주특별자치도 제주시 삼도2동 1259,,매일,,,,,,,,,1996,,2017-04-20
"도남시장",상설,제주특별자치도 제주시 도남동 923-13,,매일,,,,,,,,,1991,,2017-04-20
"한림매일시장",상설,제주특별자치도 제주시 한림읍 한림리 1314-68,,매일,,,,,,,,,1950,,2017-04-20
"중앙로상점가",상설,제주특별자치도 제주시 이도1동 1469,,매일,,,,,,,,,1965,,2017-04-20
"동문시장(주)",상설,제주특별자치도 제주시 일도일동 1148-2,,매일,,,,,,,,,1965,,2017-04-20
"함덕오일시장",오일장,제주특별자치도 제주시 조천읍 함덕리 972-7,,1일+6일,,,,,,,,,1907,,2017-04-20
"세화오일시장",오일장,제주특별자치도 제주시 구좌읍 세화리 1500-5,,5일+10일,,,,,,,,,1912,,2017-04-20
"한림오일시장",오일장,제주특별자치도 제주시 한림읍 대림리 1698-4,,4일+9일,,,,,,,,,1965,,2017-04-20
"중앙지하상가",상설,제주특별자치도 제주시 일도일동 1425-3,,매일,,,,,,,,,1983,,2017-04-20
"칠성로상점가",상설,제주특별자치도 제주시 일도일동 1146,,매일,,,,,,,,,1965,,2017-04-20
"제주민속오일시장",오일장,제주특별자치도 제주시 도두일동 1212,,2일+7일,,,,,,,,,1968,,2017-04-20
"보성시장",상설,제주특별자치도 제주시 이도일동 1289-5,,매일,,,,,,,,,1972,,2017-04-20
"동문공설시장",상설,제주특별자치도 제주시 일도일동 1104,,매일,,,,,,,,,1954,,2017-04-20
"서문공설시장",상설,제주특별자치도 제주시 용담일동 135-9,,매일,,,,,,,,,1954,,2017-04-20
"제주동문수산시장",상설,제주특별자치도 제주시 이도일동 1349-5,,매일,,,,,,,,,1970,,2017-04-20
"동문재래시장",상설,제주특별자치도 제주시 이도일동 1436-7,,매일,,,,,,,,,1954,,2017-04-20
